题目1: (82.0-81.0)×20.0=
题目4521: 11.0+43.0=
题目4522: 95.0×67.0=
题目4523: 71.0+10.0-38.0=
题目4524: 10.0+79.0=
题目4525: (88.0-30.0)÷28.0=
题目4526: 27.0÷78.0=
题目4527: 14.0÷63.0=
题目4528: 35.0-29.0=
题目4529: (33.0-15.0)×87.0=
题目4530: 89.0×35.0=
题目4531: 4.0+47.0=
题目4532: 36.0×11.0×25.0=
题目4533: (98.0-87.0)÷81.0=
题目4534: 93.0-13.0=
题目4535: 34.0×60.0÷14.0=
题目4536: 40.0+44.0=
题目4537: (80.0-2.0)×67.0=
题目4538: 57.0×42.0=
题目4539: 1.0+92.0=
题目4540: 97.0×43.0=
题目4541: 54.0×44.0÷70.0=
题目4542: 85.0+85.0÷2.0=
题目4543: 74.0-71.0=
题目4544: 87.0×94.0+17.0=
题目4545: 32.0+23.0=
题目4546: 59.0+6.0=
题目4547: 6.0÷65.0×26.0=
题目4548: 24.0÷48.0+11.0=
题目4549: (21.0-9.0)÷59.0=
题目4550: 81.0-76.0=
题目4551: 75.0÷57.0=
题目4552: 23.0÷63.0+64.0=
题目4553: 55.0×18.0+79.0=
题目4554: 57.0+97.0÷30.0=
题目4555: 89.0+1.0=
题目4556: 26.0×32.0÷70.0=
题目4557: 51.0×12.0+17.0=
题目4558: 45.0+71.0÷80.0=
题目4559: 24.0+98.0÷80.0=
题目4560: (78.0-2.0)÷43.0=
题目4561: 3.0×92.0+23.0=
题目4562: 14.0×91.0+56.0=
题目4563: 18.0+86.0+9.0=
题目4564: 47.0÷28.0=
题目4565: 78.0÷81.0=
题目4566: 10.0×77.0+17.0=
题目4567: 78.0×68.0+36.0=
题目4568: 18.0×6.0×96.0=
题目4569: 79.0-20.0=
题目4570: 58.0-10.0=
题目4571: 85.0÷31.0=
题目4572: 74.0×10.0+1.0=
题目4573: 44.0+14.0×53.0=
题目4574: 31.0×82.0=
题目4575: 17.0+11.0=
题目4576: 76.0÷24.0÷54.0=
题目4577: 89.0+98.0-66.0=
题目4578: 59.0+16.0=
题目4579: 89.0×49.0÷34.0=
题目4580: 44.0+33.0÷32.0×19.0=
题目4581: 42.0+78.0-49.0=
题目4582: 100.0+15.0÷48.0+90.0=
题目4583: 2.0×32.0×71.0=
题目4584: 51.0-21.0=
题目4585: 39.0×26.0=
题目4586: 78.0+74.0=
题目4587: 57.0+48.0+70.0=
题目4588: 80.0+2.0×33.0+92.0=
题目4589: 23.0-10.0+58.0=
题目4590: 97.0÷26.0=
题目4591: 56.0÷4.0×28.0=
题目4592: 41.0×1.0=
题目4593: 5.0×93.0=
题目4594: 26.0-9.0=
题目4595: 78.0-60.0=
题目4596: 78.0-26.0+80.0=
题目4597: 48.0-31.0=
题目4598: 45.0×87.0=
题目4599: 38.0+13.0=
题目4600: 39.0+93.0=
题目4601: 82.0-13.0=
题目4602: 61.0-19.0=
题目4603: (86.0-75.0)×46.0=
题目4604: 94.0-49.0=
题目4605: 83.0×94.0+18.0=
题目4606: 19.0÷22.0×9.0=
题目4607: 32.0-3.0=
题目4608: 65.0÷88.0=
题目4609: 49.0×99.0=
题目4610: 52.0×20.0=
题目4611: 42.0÷69.0÷32.0=
题目4612: 63.0×22.0+53.0=
题目4613: 87.0-56.0=
题目4614: 45.0×64.0=
题目4615: 78.0×51.0+75.0=
题目4616: 6.0+55.0=
题目4617: 13.0+61.0=
题目4618: 64.0-53.0=
题目4619: 40.0÷11.0=
题目4620: 8.0÷43.0+91.0=
题目4621: 15.0+44.0+1.0=
题目4622: (85.0-39.0)×59.0=
题目4623: 19.0×51.0=
题目4624: 22.0×13.0=
题目4625: 45.0+77.0-97.0=
题目4626: 87.0+57.0÷39.0=
题目4627: 51.0-45.0=
题目4628: 80.0÷50.0×85.0=
题目4629: 8.0+78.0=
题目4630: 65.0×53.0=
题目4631: 26.0-4.0+87.0=
题目4632: 59.0+66.0=
题目4633: 90.0÷92.0=
题目4634: 83.0÷40.0=
题目4635: 54.0÷3.0×39.0=
题目4636: 96.0×55.0+11.0=
题目4637: 99.0+36.0-79.0=
题目4638: 89.0÷70.0=
题目4639: 59.0×9.0=
题目4640: 90.0+77.0÷6.0=
题目4641: 37.0÷9.0×21.0=
题目4642: 28.0+11.0=
题目4643: 36.0×73.0÷66.0=
题目4644: 68.0+50.0+50.0=
题目4645: 90.0×89.0=
题目4646: 57.0×44.0+39.0=
题目4647: 66.0×71.0=
题目4648: 45.0+83.0-100.0=
题目4649: 20.0-15.0=
题目4650: 12.0÷51.0÷43.0=
题目4651: 54.0+82.0=
题目4652: 60.0÷68.0=
题目4653: 33.0×51.0=
题目4654: 97.0+56.0-37.0=
题目4655: 69.0×20.0=
题目4656: 24.0+52.0=
题目4657: 58.0+12.0=
题目4658: 79.0+65.0÷30.0=
题目4659: 97.0+26.0=
题目4660: 59.0+93.0×64.0=
题目4661: 80.0-71.0=
题目4662: (100.0-46.0)÷61.0=
题目4663: 3.0+45.0÷15.0=
题目4664: 43.0×68.0=
题目4665: 74.0×56.0+73.0=
题目4666: 33.0×25.0=
题目4667: 49.0÷82.0=
题目4668: 83.0+19.0+37.0=
题目4669: 32.0÷16.0×100.0=
题目4670: 38.0×31.0=
题目4671: 96.0÷71.0+6.0=
题目4672: (65.0-22.0)×92.0=
题目4673: 86.0×2.0÷31.0=
题目4674: 71.0÷34.0=
题目4675: 66.0+57.0×30.0+57.0=
题目4676: 94.0-11.0=
题目4677: 75.0÷14.0+10.0=
题目4678: 17.0+71.0=
题目4679: 86.0+88.0=
题目4680: 81.0+42.0÷96.0-13.0=
题目4681: 23.0÷83.0+90.0=
题目4682: 48.0×14.0=
题目4683: 46.0-22.0=
题目4684: 75.0÷44.0=
题目4685: 97.0×72.0=
题目4686: 18.0×40.0=
题目4687: 96.0×31.0=
题目4688: 95.0×12.0+12.0=
题目4689: 71.0÷86.0÷92.0=
题目4690: 90.0+45.0×26.0=
题目4691: 74.0÷20.0=
题目4692: 17.0÷92.0÷12.0=
题目4693: 8.0×8.0=
题目4694: (91.0-57.0)÷19.0=
题目4695: 42.0+38.0×27.0=
题目4696: 37.0+82.0=
题目4697: 13.0×94.0÷32.0=
题目4698: 2.0+87.0-47.0=
题目4699: 89.0-36.0=
题目4700: 54.0×72.0+20.0=
题目4701: 28.0×69.0+85.0=
题目4702: 7.0÷27.0+36.0=
题目4703: 23.0×79.0÷39.0=
题目4704: 25.0+59.0÷94.0-3.0=
题目4705: 50.0-9.0=
题目4706: 99.0×1.0÷43.0=
题目4707: 21.0×60.0=
题目4708: 27.0÷5.0+74.0=
题目4709: 12.0+80.0=
题目4710: 26.0×16.0=
题目4711: 69.0×42.0+10.0=
题目4712: 82.0-50.0=
题目4713: (78.0-12.0)÷80.0=
题目4714: 83.0×8.0+72.0=
题目4715: 17.0×70.0+77.0=
题目4716: 84.0+10.0×10.0=
题目4717: 18.0÷2.0×14.0=
题目4718: 17.0+29.0×45.0+98.0=
题目4719: 9.0÷6.0×63.0=
题目4720: 40.0+18.0÷60.0=
题目4721: 84.0÷54.0×98.0=
题目4722: 99.0÷28.0÷16.0=
题目4723: 86.0÷92.0=
题目4724: 31.0-8.0=
题目4725: 30.0÷31.0+18.0=
题目4726: 30.0-4.0=
题目4727: 41.0×37.0×92.0=
题目4728: 77.0×86.0+44.0=
题目4729: 39.0+86.0=
题目4730: 18.0÷64.0=
题目4731: 17.0÷49.0÷90.0=
题目4732: 80.0+89.0+7.0=
题目4733: 64.0÷10.0÷95.0=
题目4734: 26.0+79.0÷16.0=
题目4735: 54.0+28.0+9.0+55.0=
题目4736: 48.0÷46.0+11.0=
题目4737: 54.0+90.0-35.0=
题目4738: 91.0×37.0=
题目4739: 95.0+19.0-40.0+23.0=
题目4740: 61.0÷39.0×84.0=
题目4741: (47.0-17.0)×28.0=
题目4742: 59.0-48.0=
题目4743: 73.0+15.0÷48.0=
题目4744: 24.0×63.0×39.0=
题目4745: 75.0+23.0-89.0+3.0=
题目4746: 70.0+43.0×13.0=
题目4747: 7.0×75.0+70.0=
题目4748: 84.0-52.0+32.0=
题目4749: 47.0÷19.0×14.0=
题目4750: 39.0÷78.0=
题目4751: 62.0×17.0=
题目4752: 58.0×92.0×79.0=
题目4753: 98.0×71.0=
题目4754: 69.0×85.0=
题目4755: 41.0+43.0-29.0+53.0=
题目4756: 47.0+96.0=
题目4757: 78.0×14.0÷48.0=
题目4758: 96.0-7.0=
题目4759: 22.0-5.0=
题目4760: 80.0÷25.0×38.0=
题目4761: 78.0×26.0=
题目4762: 58.0×18.0=
题目4763: 79.0+87.0×91.0=
题目4764: 49.0×10.0×85.0=
题目4765: 4.0+49.0=
题目4766: 9.0÷45.0=
题目4767: 56.0×17.0÷26.0=
题目4768: (94.0-4.0)÷28.0=
题目4769: 56.0×29.0=
题目4770: 36.0÷10.0=
题目4771: 45.0-34.0+61.0=
题目4772: 69.0×49.0÷100.0=
题目4773: 95.0+90.0=
题目4774: 94.0×48.0÷67.0=
题目4775: 66.0-1.0=
题目4776: 16.0+31.0=
题目4777: 67.0÷78.0=
题目4778: 80.0+11.0-66.0=
题目4779: 17.0+2.0×51.0=
题目4780: 91.0+88.0×43.0=
题目4781: 13.0+50.0=
题目4782: 41.0÷18.0=
题目4783: 78.0×91.0=
题目4784: 86.0-24.0+5.0=
题目4785: (93.0-58.0)×70.0=
题目4786: 29.0+89.0÷63.0×20.0=
题目4787: 44.0÷7.0=
题目4788: 79.0×71.0=
题目4789: (97.0-66.0)÷85.0=
题目4790: 16.0-28.0+91.0=
题目4791: 95.0+62.0×72.0+22.0=
题目4792: 53.0+34.0+28.0=
题目4793: 17.0÷81.0=
题目4794: 58.0×48.0+24.0=
题目4795: 8.0÷29.0=
题目4796: 84.0×58.0=
题目4797: 19.0÷25.0÷38.0=
题目4798: 88.0-7.0=
题目4799: 87.0+57.0=
题目4800: 60.0÷98.0=
题目4801: 19.0×25.0=
题目4802: 59.0-41.0=
题目4803: 6.0+42.0÷60.0=
题目4804: 69.0÷35.0×69.0=
题目4805: 5.0×20.0=
题目4806: 93.0-76.0=
题目4807: 86.0×27.0=
题目4808: 19.0÷7.0=
题目4809: (38.0-6.0)÷52.0=
题目4810: 64.0×12.0+36.0=
题目4811: 62.0+85.0+26.0=
题目4812: 8.0÷75.0=
题目4813: 20.0+29.0=
题目4814: 50.0×60.0+30.0=
题目4815: (47.0-5.0)×3.0=
题目4816: 82.0-45.0=
题目4817: 92.0-54.0=
题目4818: 41.0-30.0=
题目4819: 86.0÷18.0+42.0=
题目4820: 54.0÷29.0+96.0=
题目4821: 57.0×36.0+50.0=
题目4822: 67.0×47.0+74.0=
题目4823: 66.0×25.0=
题目4824: 45.0+91.0×6.0=
题目4825: 24.0+23.0-37.0=
题目4826: 65.0+35.0÷4.0-4.0=
题目4827: (45.0-27.0)÷6.0=
题目4828: 38.0+66.0×55.0=
题目4829: 15.0×74.0÷23.0=
题目4830: (69.0-15.0)×86.0=
题目4831: 12.0+6.0+100.0+11.0=
题目4832: 45.0÷55.0=
题目4833: 45.0×30.0=
题目4834: 42.0-35.0=
题目4835: 47.0+75.0-84.0=
题目4836: 78.0-47.0=
题目4837: 14.0÷41.0=
题目4838: 45.0×61.0=
题目4839: 56.0+89.0÷35.0=
题目4840: 89.0÷39.0=
题目4841: 32.0×78.0+16.0=
题目4842: 7.0÷91.0=
题目4843: 36.0÷72.0×98.0=
题目4844: 37.0+15.0-23.0+3.0=
题目4845: 71.0+67.0=
题目4846: 49.0+24.0=
题目4847: 59.0÷1.0÷70.0=
题目4848: 39.0×54.0+2.0=
题目4849: 44.0÷75.0÷48.0=
题目4850: 10.0+81.0-12.0=
题目4851: 81.0+61.0-1.0=
题目4852: 76.0÷42.0=
题目4853: 49.0+70.0-90.0=
题目4854: 78.0-32.0=
题目4855: 46.0+34.0×42.0+100.0=
题目4856: 39.0×84.0=
题目4857: 32.0×42.0=
题目4858: 24.0+66.0-54.0=
题目4859: 60.0-59.0=
题目4860: 3.0÷98.0÷87.0=
题目4861: 38.0×48.0÷92.0=
题目4862: 99.0-25.0=
题目4863: 97.0÷84.0=
题目4864: 70.0×70.0÷86.0=
题目4865: 33.0÷32.0+76.0=
题目4866: 24.0×18.0=
题目4867: 91.0-52.0+13.0=
题目4868: (26.0-14.0)÷70.0=
题目4869: 94.0+71.0=
题目4870: 38.0+57.0=
题目4871: 63.0+37.0+39.0=
题目4872: 63.0+98.0+45.0=
题目4873: 51.0×26.0+61.0=
题目4874: 3.0×56.0÷85.0=
题目4875: 81.0÷94.0=
题目4876: 59.0÷36.0×91.0=
题目4877: 83.0+67.0=
题目4878: 86.0+96.0-17.0+68.0=
题目4879: 7.0×73.0=
题目4880: 31.0-4.0=
题目4881: 43.0÷61.0=
题目4882: 18.0+73.0÷38.0×84.0=
题目4883: 90.0÷65.0=
题目4884: 99.0+63.0=
题目4885: 20.0÷45.0=
题目4886: 11.0÷53.0×18.0=
题目4887: 82.0-68.0=
题目4888: 74.0+54.0=
题目4889: 55.0-10.0=
题目4890: 64.0+61.0=
题目4891: 26.0+29.0÷84.0=
题目4892: 65.0÷85.0=
题目4893: 17.0÷44.0×27.0=
题目4894: 46.0+38.0=
题目4895: 44.0÷39.0÷51.0=
题目4896: 87.0×6.0+19.0=
题目4897: 57.0+88.0÷91.0+84.0=
题目4898: 9.0÷66.0=
题目4899: 35.0+8.0=
题目4900: 10.0+77.0=
题目4901: 20.0+23.0=
题目4902: 23.0-22.0=
题目4903: 78.0÷12.0=
题目4904: 85.0×78.0=
题目4905: 30.0÷89.0=
题目4906: 31.0×20.0+64.0=
题目4907: (40.0-19.0)×77.0=
题目4908: 25.0+23.0÷77.0+34.0=
题目4909: 21.0×49.0×100.0=
题目4910: 38.0÷18.0=
题目4911: 54.0÷32.0=
题目4912: 13.0×39.0×61.0=
题目4913: 13.0×57.0÷47.0=
题目4914: 81.0+48.0=
题目4915: 70.0×54.0=
题目4916: 14.0÷37.0+65.0=
题目4917: 29.0+9.0=
题目4918: 90.0÷6.0×65.0=
题目4919: 37.0+62.0×52.0+75.0=
题目4920: 40.0÷59.0×23.0=
题目4921: 96.0÷57.0=
题目4922: 45.0×20.0=
题目4923: 41.0+89.0=
题目4924: 57.0+53.0=
题目4925: 48.0+30.0-61.0+24.0=
题目4926: 35.0÷75.0×27.0=
题目4927: 80.0÷15.0+61.0=
题目4928: 7.0÷95.0=
题目4929: 19.0×34.0=
题目4930: 17.0+90.0=
题目4931: 86.0+38.0=
题目4932: 100.0-31.0=
题目4933: 28.0+65.0÷90.0=
题目4934: 84.0×16.0+97.0=
题目4935: 55.0÷90.0=
题目4936: 61.0+41.0=
题目4937: 49.0+15.0-53.0=
题目4938: 92.0+4.0÷3.0=
题目4939: 78.0+32.0+27.0=
题目4940: 69.0+94.0×28.0+21.0=
题目4941: 12.0×34.0+45.0=
题目4942: 74.0÷22.0+8.0=
题目4943: 15.0+74.0×20.0+79.0=
题目4944: 39.0×70.0÷66.0=
题目4945: 78.0-31.0=
题目4946: 18.0×8.0=
题目4947: 45.0-40.0=
题目4948: 31.0÷12.0÷20.0=
题目4949: 24.0÷26.0=
题目4950: 16.0×67.0=
题目4951: 97.0×61.0=
题目4952: 20.0-17.0=
题目4953: 47.0÷61.0×85.0=
题目4954: 60.0÷46.0=
题目4955: 28.0+35.0=
题目4956: 92.0×4.0×13.0=
题目4957: 27.0-51.0+68.0=
题目4958: (88.0-21.0)×60.0=
题目4959: 10.0÷49.0=
题目4960: 73.0-9.0=
题目4961: 34.0×67.0÷16.0=
题目4962: 79.0+56.0×95.0=
题目4963: 58.0÷22.0=
题目4964: 15.0×61.0+63.0=
题目4965: 68.0×32.0=
题目4966: 20.0×12.0=
题目4967: 12.0+79.0-89.0=
题目4968: 68.0×22.0×62.0=
题目4969: 62.0+98.0+59.0=
题目4970: 40.0+39.0-62.0=
题目4971: 21.0÷3.0+91.0=
题目4972: (85.0-78.0)×48.0=
题目4973: 78.0×68.0÷19.0=
题目4974: 65.0×46.0÷66.0=
题目4975: 25.0-18.0=
题目4976: (69.0-54.0)÷61.0=
题目4977: 71.0+36.0×22.0=
题目4978: 3.0÷17.0×6.0=
题目4979: 67.0×87.0+18.0=
题目4980: 26.0+62.0×34.0=
题目4981: 97.0+42.0×64.0+66.0=
题目4982: 98.0-70.0=
题目4983: 52.0+26.0=
题目4984: 9.0×7.0÷17.0=
题目4985: 77.0×96.0+41.0=
题目4986: 100.0-40.0=
题目4987: 50.0÷91.0×6.0=
题目4988: 49.0÷35.0+86.0=
题目4989: 81.0-60.0-9.0=
题目4990: 95.0+42.0-9.0=
题目4991: 60.0-2.0=
题目4992: 14.0+17.0=
题目4993: 55.0-49.0=
题目4994: (60.0-57.0)×54.0=
题目4995: 33.0+57.0÷6.0=
题目4996: 89.0-64.0=
题目4997: 100.0×64.0=
题目4998: 100.0+47.0=
题目4999: 73.0×51.0=
题目5000: 6.0÷99.0×97.0=
题目5001: 47.0÷68.0÷100.0=
题目5002: 73.0+9.0-36.0+94.0=
题目5003: 54.0-52.0=
题目5004: 49.0×57.0×93.0=
题目5005: 16.0+94.0+55.0=
题目5006: 63.0÷86.0=
题目5007: 56.0-27.0=
题目5008: 6.0÷8.0=
题目5009: 72.0÷29.0+36.0=
题目5010: 67.0+90.0+62.0=
题目5011: 56.0+74.0=
题目5012: 74.0-8.0+59.0=
题目5013: 7.0÷30.0+59.0=
题目5014: 99.0-25.0=
题目5015: 76.0-2.0=
题目5016: 3.0+66.0×57.0=
题目5017: 77.0×43.0÷1.0=
题目5018: (91.0-44.0)×79.0=
题目5019: (76.0-10.0)÷65.0=
题目5020: 54.0+21.0×28.0=
题目5021: 65.0×7.0÷78.0=
题目5022: 70.0+47.0-23.0+3.0=
题目5023: 74.0-5.0=
题目5024: 6.0×93.0×38.0=
题目5025: 94.0+29.0-37.0=
题目5026: 4.0×41.0=
题目5027: 60.0×62.0=
题目5028: 60.0+40.0=
题目5029: 81.0+9.0×37.0=
题目5030: 33.0÷7.0=
题目5031: 92.0×11.0=
题目5032: (77.0-33.0)÷83.0=
题目5033: 61.0×53.0=
题目5034: 42.0÷48.0=
题目5035: 96.0÷11.0+84.0=
题目5036: 27.0-20.0=
题目5037: 96.0+84.0=
题目5038: 2.0×89.0=
题目5039: 43.0×80.0=
题目5040: 92.0-42.0+64.0=
题目5041: 91.0×88.0=
题目5042: 2.0+52.0-15.0=
题目5043: 79.0-3.0=
题目5044: 71.0×44.0×32.0=
题目5045: 51.0÷91.0=
题目5046: 72.0+48.0=
题目5047: 34.0÷5.0×32.0=
题目5048: 28.0+5.0=
题目5049: 55.0+3.0=
题目5050: 23.0÷97.0÷46.0=
题目5051: 24.0×77.0+2.0=
题目5052: 47.0÷27.0+50.0=
题目5053: 23.0÷34.0+32.0=
题目5054: 83.0-4.0=
题目5055: 75.0×93.0=
题目5056: 63.0×82.0×53.0=
题目5057: 95.0×24.0+85.0=
题目5058: 71.0+1.0=
题目5059: 17.0×69.0=
题目5060: 21.0×10.0+15.0=
题目5061: 94.0+88.0÷36.0=
题目5062: 70.0-17.0=
题目5063: 63.0-27.0=
题目5064: 95.0÷52.0+9.0=
题目5065: 50.0-36.0=
题目5066: 65.0×34.0=
题目5067: 52.0+49.0=
题目5068: 99.0÷49.0+27.0=
题目5069: (23.0-15.0)÷100.0=
题目5070: 37.0+67.0=
题目5071: 11.0+73.0-26.0=
题目5072: 39.0+43.0+92.0=
题目5073: 11.0-9.0=
题目5074: (53.0-16.0)÷51.0=
题目5075: 36.0×58.0=
题目5076: 16.0×89.0×38.0=
题目5077: 57.0-36.0+29.0=
题目5078: 71.0+85.0÷63.0=
题目5079: 29.0-3.0=
题目5080: 80.0×93.0=
题目5081: 66.0-2.0+5.0=
题目5082: 25.0+91.0÷13.0×41.0=
题目5083: 53.0-42.0=
题目5084: 84.0÷79.0=
题目5085: 92.0÷9.0÷42.0=
题目5086: 47.0+12.0×49.0=
题目5087: 68.0÷61.0=
题目5088: 22.0×22.0÷85.0=
题目5089: 48.0×21.0=
题目5090: 18.0+87.0-69.0=
题目5091: 65.0÷11.0=
题目5092: 68.0+15.0×24.0=
题目5093: 73.0+56.0=
题目5094: 70.0÷34.0=
题目5095: 85.0÷84.0÷88.0=
题目5096: 29.0×6.0+19.0=
题目5097: 88.0+26.0=
题目5098: 83.0÷41.0×94.0=
题目5099: 72.0+92.0×51.0=
题目5100: 22.0-1.0=
题目5101: (86.0-15.0)÷19.0=
题目5102: 74.0+10.0-46.0=
题目5103: 74.0-50.0=
题目5104: 11.0+40.0=
题目5105: 31.0×98.0×22.0=
题目5106: 46.0÷37.0÷29.0=
题目5107: 87.0÷94.0=
题目5108: (22.0-18.0)÷27.0=
题目5109: 65.0×29.0+3.0=
题目5110: 90.0-63.0=
题目5111: 97.0-16.0=
题目5112: 79.0+13.0÷34.0=
题目5113: 52.0×36.0=
题目5114: 8.0-7.0=
题目5115: 1.0×74.0+11.0=
题目5116: 32.0-21.0=
题目5117: 45.0-32.0+7.0=
题目5118: 86.0-74.0=
题目5119: 33.0+98.0÷73.0=
题目5120: 91.0+96.0=
题目5121: 45.0×38.0=
题目5122: 76.0-20.0=
题目5123: 80.0+83.0=
题目5124: 56.0+79.0×79.0=
题目5125: 54.0-47.0=
题目5126: 86.0×100.0÷85.0=
题目5127: 95.0+80.0=
题目5128: 49.0×48.0=
题目5129: 26.0+42.0=
题目5130: 87.0×77.0÷81.0=
题目5131: 77.0÷90.0=
题目5132: 64.0÷66.0+23.0=
题目5133: 85.0-17.0=
题目5134: 22.0+54.0=
题目5135: 96.0-9.0=
题目5136: 92.0-80.0=
题目5137: 27.0×16.0×40.0=
题目5138: (86.0-3.0)÷87.0=
题目5139: 75.0÷1.0+85.0=
题目5140: 100.0÷93.0=
题目5141: 11.0+42.0=
题目5142: 45.0÷20.0÷34.0=
题目5143: 53.0÷15.0÷100.0=
题目5144: 90.0+82.0+99.0=
题目5145: 25.0÷39.0=
题目5146: 85.0+56.0+38.0=
题目5147: 84.0-38.0=
题目5148: 26.0÷28.0=
题目5149: (86.0-55.0)÷37.0=
题目5150: 49.0÷45.0÷100.0=
题目5151: 58.0×46.0×72.0=
题目5152: 31.0÷78.0=
题目5153: 72.0+76.0+98.0+5.0=
题目5154: 96.0-28.0+28.0=
题目5155: 74.0+8.0÷3.0=
题目5156: 73.0×94.0=
题目5157: 18.0×51.0=
题目5158: 91.0-54.0=
题目5159: 9.0+99.0×83.0+96.0=
题目5160: 99.0÷29.0+53.0=
题目5161: 57.0+86.0-78.0=
题目5162: 43.0+77.0÷75.0=
题目5163: 54.0÷89.0=
题目5164: 76.0×99.0=
题目5165: 61.0÷4.0=
题目5166: 55.0+40.0=
题目5167: 45.0+71.0=
题目5168: 100.0×11.0+62.0=
题目5169: 90.0+74.0÷43.0+95.0=
题目5170: 36.0-17.0=
题目5171: 41.0×24.0=
题目5172: 48.0×72.0×17.0=
题目5173: 66.0-52.0=
题目5174: 61.0×4.0=
题目5175: 78.0×2.0×96.0=
题目5176: 75.0+58.0÷68.0=
题目5177: 75.0÷60.0÷23.0=
题目5178: 65.0-59.0=
题目5179: 45.0+5.0×5.0=
题目5180: 44.0÷82.0=
题目5181: 24.0÷61.0+8.0=
题目5182: 86.0×39.0×18.0=
题目5183: 26.0+38.0×57.0=
题目5184: 12.0÷21.0=
题目5185: 74.0×100.0=
题目5186: 72.0+92.0=
题目5187: 78.0×7.0=
题目5188: 98.0-60.0=
题目5189: (85.0-37.0)÷93.0=
题目5190: 16.0×87.0=
题目5191: 49.0+2.0=
题目5192: 92.0×57.0=
题目5193: 32.0+9.0=
题目5194: 2.0×79.0=
题目5195: 97.0÷82.0=
题目5196: 61.0÷87.0=
题目5197: 77.0×88.0+75.0=
题目5198: 97.0-30.0=
题目5199: 68.0×13.0=
题目5200: 15.0+23.0+51.0=
题目5201: 65.0-30.0=
题目5202: 56.0×32.0=
题目5203: 47.0×90.0÷6.0=
题目5204: 59.0+17.0÷48.0×39.0=
题目5205: 13.0×4.0=
题目5206: (69.0-39.0)×69.0=
题目5207: 51.0+65.0÷91.0=
题目5208: 97.0+41.0=
题目5209: 34.0+66.0=
题目5210: 43.0+12.0÷85.0=
题目5211: 21.0+28.0×55.0+2.0=
题目5212: 64.0×16.0=
题目5213: 99.0-58.0+15.0=
题目5214: 93.0+81.0=
题目5215: 3.0+51.0=
题目5216: (68.0-43.0)÷29.0=
题目5217: 85.0-72.0=
题目5218: 3.0×44.0+54.0=
题目5219: 45.0-7.0=
题目5220: 100.0+13.0×62.0=
题目5221: 81.0×82.0=
题目5222: 13.0×47.0+19.0=
题目5223: (83.0-73.0)×8.0=
题目5224: 47.0×77.0×83.0=
题目5225: 48.0-9.0=
题目5226: 94.0+41.0+35.0=
题目5227: 98.0-60.0+13.0=
题目5228: 91.0×37.0+88.0=
题目5229: 50.0+36.0=
题目5230: 34.0÷91.0=
题目5231: 82.0÷41.0=
题目5232: 3.0×59.0×82.0=
题目5233: 58.0-17.0+43.0=
题目5234: 71.0+95.0=
题目5235: 9.0+59.0=
题目5236: 69.0+71.0=
题目5237: 38.0+31.0÷22.0+22.0=
题目5238: 90.0+49.0×40.0=
题目5239: 36.0+83.0=
题目5240: 78.0-4.0-30.0=
题目5241: 78.0+38.0=
题目5242: 95.0+23.0+37.0=
题目5243: 81.0-19.0=
题目5244: 53.0×75.0=
题目5245: 97.0×39.0×30.0=
题目5246: 77.0+17.0÷6.0+11.0=
题目5247: 73.0-41.0=
题目5248: 11.0+36.0×40.0+64.0=
题目5249: 49.0+34.0=
题目5250: 15.0×50.0=
题目5251: 44.0+17.0÷60.0=
题目5252: 44.0-40.0=
题目5253: 75.0+95.0+45.0=
题目5254: 15.0÷56.0=
题目5255: 43.0-17.0=
题目5256: 8.0+37.0÷5.0=
题目5257: 19.0+6.0=
题目5258: 87.0-20.0=
题目5259: 37.0×80.0+66.0=
题目5260: 31.0+97.0-57.0+12.0=
题目5261: 79.0÷52.0=
题目5262: 7.0×99.0+34.0=
题目5263: 7.0+52.0=
题目5264: (50.0-40.0)÷26.0=
题目5265: 45.0+41.0=
题目5266: (62.0-14.0)÷80.0=
题目5267: 55.0+62.0÷89.0=
题目5268: (74.0-13.0)×59.0=
题目5269: 28.0×14.0=
题目5270: 24.0×22.0=
题目5271: 66.0+49.0-84.0=
题目5272: 71.0-26.0=
题目5273: 52.0÷3.0=
题目5274: 88.0+46.0=
题目5275: 82.0-47.0=
题目5276: 39.0-29.0=
题目5277: 75.0+37.0÷99.0×83.0=
题目5278: 90.0+2.0=
题目5279: 3.0×9.0=
题目5280: 17.0÷8.0+5.0=
题目5281: 14.0+84.0=
题目5282: 57.0-18.0=
题目5283: 86.0÷16.0=
题目5284: 45.0×19.0÷62.0=
题目5285: 17.0÷56.0+69.0=
题目5286: (55.0-10.0)÷41.0=
题目5287: 92.0×13.0+2.0=
题目5288: 66.0-40.0-2.0=
题目5289: 15.0÷69.0=
题目5290: 13.0×4.0×58.0=
题目5291: 88.0+15.0÷44.0=
题目5292: 40.0+4.0=
题目5293: 22.0÷79.0+46.0=
题目5294: 45.0×41.0=
题目5295: 85.0÷74.0=
题目5296: 42.0×15.0×99.0=
题目5297: 78.0-35.0+71.0=
题目5298: 5.0+87.0-52.0=
题目5299: 92.0×10.0+52.0=
题目5300: 55.0÷54.0=
题目5301: 59.0÷89.0=
题目5302: 93.0÷14.0=
题目5303: 41.0-15.0=
题目5304: 65.0+85.0-30.0=
题目5305: (67.0-9.0)×69.0=
题目5306: 14.0÷41.0×45.0=
题目5307: 95.0×100.0÷23.0=
题目5308: 14.0+52.0=
题目5309: 51.0+60.0=
题目5310: (84.0-34.0)×36.0=
题目5311: 93.0×3.0=
